"name","summary","imgLink"
"Sun","The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth. Its diameter is about 1.39 million kilometers (864,000 miles), or 109 times that of Earth, and its mass is about 330,000 times that of Earth. It accounts for about 99.86% of the total mass of the Solar System.
Roughly three quarters of the Sun's mass consists of hydrogen (~73%); the rest is mostly helium (~25%), with much smaller quantities of heavier elements, including oxygen, carbon, neon, and iron.The Sun is a G-type main-sequence star (G2V) based on its spectral class. As such, it is informally and not completely accurately referred to as a yellow dwarf (its light is closer to white than yellow). It formed approximately 4.6 billion years ago from the gravitational collapse of matter within a region of a large molecular cloud. Most of this matter gathered in the center, whereas the rest flattened into an orbiting disk that became the Solar System. The central mass became so hot and dense that it eventually initiated nuclear fusion in its core. It is thought that almost all stars form by this process.
The Sun is roughly middle-aged; it has not changed dramatically for more than four billion years, and will remain fairly stable for more than another five billion years. It currently fuses about 600 million tons of hydrogen into helium every second, converting 4 million tons of matter into energy every second as a result. This energy, which can take between 10,000 and 170,000 years to escape from its core, is the source of the Sun's light and heat. In about 5 billion years, when hydrogen fusion in its core has diminished to the point at which the Sun is no longer in hydrostatic equilibrium, its core will undergo a marked increase in density and temperature while its outer layers expand to eventually become a red giant. It is calculated that the Sun will become sufficiently large to engulf the current orbits of Mercury and Venus, and render Earth uninhabitable. After this, it will shed its outer layers and become a dense type of cooling star known as a white dwarf, and no longer produce energy by fusion, but still glow and give off heat from its previous fusion.
The enormous effect of the Sun on Earth has been recognized since prehistoric times, and the Sun has been regarded by some cultures as a deity. The synodic rotation of Earth and its orbit around the Sun are the basis of solar calendars, one of which is the predominant calendar in use today.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Sun_white.jpg/1000px-Sun_white.jpg"
"Alpha Andromedae","Alpha Andromedae (α Andromedae, abbreviated Alpha And or α And), also named Alpheratz, is located 97 light-years from the Sun and is the brightest star in the constellation of Andromeda. Located immediately northeast of the constellation of Pegasus, it is the upper left star of the Great Square of Pegasus.
Although it appears to the naked eye as a single star, with overall apparent visual magnitude +2.06, it is actually a binary system composed of two stars in close orbit. The chemical composition of the brighter of the two stars is unusual as it is a mercury-manganese star whose atmosphere contains abnormally high levels of mercury, manganese, and other elements, including gallium and xenon. It is the brightest mercury-manganese star known.","https://upload.wikimedia.org/wikipedia/commons/4/44/Alpheratz.gif"
"Beta Cassiopeiae","Beta Cassiopeiae (β Cassiopeiae, abbreviated Beta Cas or β Cas), also named Caph, is a Delta Scuti variable star in the constellation of Cassiopeia. It is a giant star belonging to the spectral class F2. The white star of second magnitude (+2.27 mag) has an absolute magnitude of +1.16 mag.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Cassiopeia_constellation_map.svg/1000px-Cassiopeia_constellation_map.svg.png"
"Gamma Pegasi","Gamma Pegasi (γ Pegasi, abbreviated Gamma Peg or γ Peg), also named Algenib, is a star in the constellation of Pegasus, located at the southeast corner of the asterism known as the Great Square. The average apparent visual magnitude of +2.84 puts this at fourth place among the brightest stars in the constellation. The distance to this star has been measured using the parallax technique, yielding a value of roughly 390 light-years (120 parsecs) with a margin of error of 5%.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Pegasus_constellation_map.svg/1000px-Pegasus_constellation_map.svg.png"
"Alpha Phoenicis","Alpha Phoenicis (α Phoenicis, abbreviated Alpha Phe or α Phe), also named Ankaa, is the brightest star in the constellation of Phoenix.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Phoenix_constellation_map.svg/1000px-Phoenix_constellation_map.svg.png"
"Alpha Cassiopeiae","Alpha Cassiopeiae (α Cassiopeiae, abbreviated Alpha Cas, α Cas), also named Schedar, is a second magnitude star in the constellation of Cassiopeia.  Though listed as the ""alpha star"" by Johann Bayer, α Cas's visual brightness closely rivals the 'beta' (β) star in the constellation (Beta Cassiopeiae, also named Caph) and it may appear marginally brighter or dimmer, depending on which passband is used.  However, recent calculations from NASA's WISE telescope confirm that α Cas is the brightest in Cassiopeia, with an apparent magnitude of 2.240. Its absolute magnitude is 18 times greater than β Cas, although it is located farther away from the Sun (228 light years versus 54).","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Cassiopeia_constellation_map.svg/1000px-Cassiopeia_constellation_map.svg.png"
"Beta Ceti","Beta Ceti (β Ceti, abbreviated Beta Cet, β Cet), also named Diphda, is the brightest star in the constellation of Cetus. Although designated 'beta', it is actually brighter than the 'alpha' star in the constellation (Alpha Ceti). This orange giant is easy to identify due to its location in an otherwise dark section of the celestial sphere. Based on parallax measurements, it lies at an estimated distance of 96.3 light-years (29.5 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Cetus_constellation_map.svg/1000px-Cetus_constellation_map.svg.png"
"HD 4628","HD 4628 (96 G. Piscium) is a main sequence star in the equatorial constellation of Pisces. It has a spectral classification of K2.5 V and an effective temperature of 5,829 K, giving it an orange-red hue with a slightly smaller mass and girth than our Sun. HD 4628 lies at a distance of approximately 24.3 light years from the Sun. The apparent magnitude is just sufficient for this star to be viewed with the unaided eye. The star appears to be slightly older than our Sun—approximately 5.4 billion years old. The surface activity is low and, based upon the detection of UV emission, it may have a relatively cool corona with a temperature of one million K.The star has a relatively high proper motion of 1.4″ per year and is moving in our general direction with a radial velocity of −10.8 km/s. HD 4628 will make its closest approach to the Sun in about 32,000 years, when it comes within 20 ly (7.3 pc). No definitive companion has yet been found in orbit around this star. In 1958 it was thought to have stellar companion that was also a flare star, but this was subsequently disproved.",""
"Van Maanen 2","Van Maanen 2 (van Maanen's Star) is a white dwarf. It is a dense, compact stellar remnant that is no longer generating energy, having about 68% of the Sun's mass but only 1% of the Sun's radius. Out of the white dwarfs known, it is, at 13.9 light-years, the third closest to the Sun, after Sirius B and Procyon B, in that order, and the closest known solitary white dwarf. Discovered in 1917 by Dutch–American astronomer Adriaan van Maanen, Van Maanen 2 was the third white dwarf identified, after 40 Eridani B and Sirius B, and the first that was not a member of a multi-star system. A spectrographic plate made in 1917 shows evidence of planetary matter around the star.",""
"Gamma Cassiopeiae","Gamma Cassiopeiae, Latinized from γ Cassiopeiae, is a star at the center of the distinctive ""W"" asterism in the northern circumpolar constellation of Cassiopeia. Although it is a fairly bright star with an apparent visual magnitude that varies from 1.6 to 3.0, it has no traditional Arabic or Latin name.
Gamma Cassiopeiae is a Be star, a variable star, and a binary.  Based upon parallax measurements made by the Hipparcos satellite, it is located at a distance of roughly 550 light-years from Earth.

","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Cassiopeia_constellation_map.svg/1000px-Cassiopeia_constellation_map.svg.png"
"Beta Andromedae","Beta Andromedae (β Andromedae, abbreviated Beta And, β And), also named Mirach, is a prominent star in the northern constellation of Andromeda. It is northeast of the Great Square of Pegasus and is theoretically visible to all observers north of 54° S. It is commonly used by stargazers to find the Andromeda Galaxy. The galaxy NGC 404, also known as Mirach's Ghost, is seven arc minutes away from Mirach.This star has an average apparent visual magnitude of 2.05, making it the brightest star in the constellation. The luminosity varies slightly from magnitude +2.01 to +2.10. Based upon parallax measurements, it is roughly 197 light-years (60 parsecs) from the Sun. Its apparent magnitude is reduced by 0.06 by extinction due to gas and dust along the line of sight.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Andromeda_IAU.svg/1000px-Andromeda_IAU.svg.png"
"Rucbah","The traditional star name Rucbah can refer to three different stars:

Alpha Aquarii in the Aquarius constellation
Delta Cassiopeiae in the Cassiopeia constellation
Alpha Sagittarii in the Sagittarius constellation (Al Rami, Rukbat)
Alpha Sagittarii in fiction, namely Rukbat, is the sun in Pern stories by Anne McCaffrey, from 1967",""
"Achernar","Achernar  is the name of the primary (or 'A') component of the binary system designated Alpha Eridani (α Eridani, abbreviated Alpha Eri, α Eri), which is the brightest 'star' or point of light in, and lying at the southern tip of, the constellation of Eridanus, and the tenth-brightest in the night sky. The two components are designated Alpha Eridani A (the primary) and B (the secondary, also known informally as Achernar B). As determined by the Hipparcos astrometry satellite, it is approximately 139 light-years (43 pc) from the Sun.Of the ten apparent brightest stars in the night-time sky, Alpha Eridani is the hottest and bluest in color, due to Achernar being of spectral type B. Achernar has an unusually rapid rotational velocity, causing it to become oblate in shape. The secondary is smaller, of spectral type A, and orbits Achernar at a distance of roughly 12 astronomical units (AU).","https://upload.wikimedia.org/wikipedia/commons/8/8b/Position_Alpha_Eri.png"
"Beta Arietis","Beta Arietis (β Arietis, abbreviated Beta Ari, β Ari), also named Sheratan, is a star system and the second-brightest star in the constellation of Aries, marking the ram's second horn.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Aries_constellation_map.svg/986px-Aries_constellation_map.svg.png"
"Gamma Andromedae","Gamma Andromedae (γ Andromedae, abbreviated Gamma And, γ And) is the third-brightest point of light in the constellation of Andromeda.  It is a multiple star system approximately 350 light-years from the Earth.
In 1778, Johann Tobias Mayer discovered that γ Andromedae was a double star.  When examined in a small telescope, it appears to be a bright, golden-yellow star (γ1 Andromedae or γ Andromedae A, also named Almach) next to a dimmer, indigo-blue star (γ2 Andromedae or γ Andromedae B), separated by approximately 10 arcseconds.  It is often considered by stargazers to be a beautiful double star with a striking contrast of color.  It was later discovered that γ2 Andromedae is itself a triple star system.  What appears as a single star to the naked eye is thus a quadruple star system.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Andromeda_constellation_map.svg/1000px-Andromeda_constellation_map.svg.png"
"Hamal","Hamal, alternatively designated Alpha Arietis (α Arietis, abbreviated Alpha Ari, α Ari), is the brightest star in the northern zodiacal constellation of Aries.With an apparent visual magnitude of 2.0, it is among the brightest stars in the night sky. Based upon parallax measurements made with the Hipparcos astrometry satellite, Hamal is about 65.8 light-years (20.2 parsecs) from Earth. It is a giant star that may host an orbiting planet with a mass greater than Jupiter.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Aries_constellation_map.svg/986px-Aries_constellation_map.svg.png"
"Mira","Mira , alternatively designated Omicron Ceti (ο Ceti, abbreviated Omicron Cet, ο Cet) is a red giant star estimated to be 200–400 light years from the Sun in the constellation of Cetus.
ο Ceti is a binary stellar system, consisting of a variable red giant (Mira A) along with a white dwarf companion (Mira B). Mira A is a pulsating variable star and was the first non-supernova variable star discovered, with the possible exception of Algol.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Cetus_constellation_map.svg/1000px-Cetus_constellation_map.svg.png"
"Polaris","Polaris, designated Alpha Ursae Minoris (α Ursae Minoris, abbreviated Alpha UMi, α UMi), commonly the North Star or Pole Star, is the brightest star in the constellation of Ursa Minor. It is very close to the north celestial pole, making it the current northern pole star.  The revised Hipparcos parallax gives a distance to Polaris of about 433 light-years (133 parsecs), while calculations by other methods derive distances around 30% closer.
Polaris is a multiple star, comprising the main star (Polaris Aa, a yellow supergiant) in orbit with a smaller companion (Polaris Ab); the pair in orbit with Polaris B (discovered in August 1779 by William Herschel). There were once thought to be two more distant components—Polaris C and Polaris D—but these have been shown not to be physically associated with the Polaris system.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Ursa_Minor_IAU.svg/901px-Ursa_Minor_IAU.svg.png"
